date,incidents
03-04-12,120
03-04-13,104
03-04-14,97
03-04-15,97
03-04-16,112
03-05-11,136
03-05-12,130
03-05-13,124
03-05-14,104
03-05-15,54
03-05-16,107
03-06-11,124
03-06-12,101
03-06-13,94
03-06-14,108
03-06-15,91
03-06-16,105
03-07-11,129
03-07-12,134
03-07-13,112
03-07-14,109
03-07-15,83
03-07-16,149
03-08-11,136
03-08-12,133
03-08-13,143
03-08-14,106
03-08-15,102
03-08-16,108
03-09-11,118
03-09-12,
03-09-13,
03-09-14,
03-09-15,
03-09-16,104
03-10-11,118
03-10-12,123
03-10-13,110
03-10-14,132
03-10-15,115
03-10-16,125
03-11-11,149
03-11-12,118
03-11-13,129
03-11-14,113
03-11-15,119
03-11-16,124
03-12-11,139
03-12-12,122
03-12-13,106
03-12-14,96
03-12-15,138
03-12-16,135
03/13/2011,107
03/13/2012,141
03/13/2013,127
03/13/2014,107
03/13/2015,131
03/13/2016,86
03/14/2011,136
03/14/2012,126
03/14/2013,154
03/14/2014,157
03/14/2015,113
03/14/2016,106
03/15/2011,129
03/15/2012,149
03/15/2013,133
03/15/2014,154
03/15/2015,100
03/15/2016,121
03/16/2011,134
03/16/2012,168
03/16/2013,130
03/16/2014,92
03/16/2015,119
03/16/2016,139
03/17/2011,143
03/17/2012,163
03/17/2013,90
03/17/2014,84
03/17/2015,141
03/17/2016,135
03/18/2011,190
03/18/2012,143
03/18/2013,110
03/18/2014,114
03/18/2015,113
03/18/2016,123
03/19/2011,179
03/19/2012,155
03/19/2013,125
03/19/2014,99
03/19/2015,109
03/19/2016,95
03/20/2011,126
03/20/2012,178
03/20/2013,126
03/20/2014,99
03/20/2015,123
03/20/2016,87
03/21/2011,154
03/21/2012,148
03/21/2013,133
03/21/2014,111
03/21/2015,116
03/21/2016,128
03/22/2011,164
03/22/2012,136
03/22/2013,135
03/22/2014,120
03/22/2015,102
03/22/2016,137
03/23/2011,159
03/23/2012,152
03/23/2013,111
03/23/2014,106
03/23/2015,126
03/23/2016,136
03/24/2011,143
03/24/2012,140
03/24/2013,108
03/24/2014,136
03/24/2015,113
03/24/2016,134
03/25/2011,152
03/25/2012,135
03/25/2013,99
03/25/2014,124
03/25/2015,121
03/25/2016,129
03/26/2011,117
03/26/2012,166
03/26/2013,101
03/26/2014,101
03/26/2015,113
03/26/2016,129
03/27/2011,138
03/27/2012,154
03/27/2013,130
03/27/2014,149
03/27/2015,143
03/27/2016,110
03/28/2011,126
03/28/2012,137
03/28/2013,127
03/28/2014,125
03/28/2015,118
03/28/2016,105
03/29/2011,137
03/29/2012,147
03/29/2013,97
03/29/2014,98
03/29/2015,97
03/29/2016,117
03/30/2011,131
03/30/2012,
03/30/2013,
03/30/2014,
03/30/2015,
03/30/2016,
03/31/2011,
03/31/2012,
03/31/2013,
03/31/2014,147
03/31/2015,108
03/31/2016,97
04-01-11,176
04-01-12,118
04-01-13,147
04-01-14,128
04-01-15,117
04-01-16,129
04-02-11,139
04-02-12,120
04-02-13,115
04-02-14,119
04-02-15,134
04-02-16,132
04-03-11,119
04-03-12,124
04-03-13,107
04-03-14,121
04-03-15,128
04-03-16,99
04-04-11,127
04-04-12,119
04-04-13,113
04-04-14,139
04-04-15,109
04-04-16,106
04-05-11,140
04-05-12,138
04-05-13,151
04-05-14,122
04-05-15,88
04-05-16,107
04-06-11,140
04-06-12,127
04-06-13,113
04-06-14,98
04-06-15,124
04-06-16,140
04-07-11,128
04-07-12,113
04-07-13,103
04-07-14,115
04-07-15,105
04-07-16,121
04-08-11,137
04-08-12,105
04-08-13,144
04-08-14,126
04-08-15,102
04-08-16,127
04-09-11,129
04-09-12,159
04-09-13,131
04-09-14,130
04-09-15,106
04-09-16,115
04-10-11,146
04-10-12,124
04-10-13,148
04-10-14,114
04-10-15,95
04-10-16,103
04-11-11,140
04-11-12,116
04-11-13,125
04-11-14,112
04-11-15,112
04-11-16,143
04-12-11,140
04-12-12,110
04-12-13,149
04-12-14,123
04-12-15,100
04-12-16,126
04/13/2011,135
04/13/2012,138
04/13/2013,131
04/13/2014,138
04/13/2015,108
04/13/2016,128
04/14/2011,144
04/14/2012,145
04/14/2013,144
04/14/2014,143
04/14/2015,109
04/14/2016,135
04/15/2011,154
04/15/2012,131
04/15/2013,138
04/15/2014,114
04/15/2015,132
04/15/2016,130
04/16/2011,127
04/16/2012,125
04/16/2013,145
04/16/2014,117
04/16/2015,142
04/16/2016,147
04/17/2011,124
04/17/2012,164
04/17/2013,126
04/17/2014,128
04/17/2015,122
04/17/2016,111
04/18/2011,132
04/18/2012,168
04/18/2013,137
04/18/2014,119
04/18/2015,128
04/18/2016,147
04/19/2011,137
04/19/2012,160
04/19/2013,151
04/19/2014,120
04/19/2015,122
04/19/2016,141
04/20/2011,130
04/20/2012,166
04/20/2013,134
04/20/2014,117
04/20/2015,126
04/20/2016,151
04/21/2011,151
04/21/2012,113
04/21/2013,108
04/21/2014,116
04/21/2015,131
04/21/2016,136
04/22/2011,119
04/22/2012,117
04/22/2013,135
04/22/2014,127
04/22/2015,109
04/22/2016,146
04/23/2011,129
04/23/2012,125
04/23/2013,131
04/23/2014,139
04/23/2015,134
04/23/2016,120
04/24/2011,128
04/24/2012,126
04/24/2013,132
04/24/2014,125
04/24/2015,132
04/24/2016,139
04/25/2011,136
04/25/2012,150
04/25/2013,156
04/25/2014,145
04/25/2015,169
04/25/2016,134
04/26/2011,134
04/26/2012,123
04/26/2013,141
04/26/2014,135
04/26/2015,97
04/26/2016,158
04/27/2011,167
