"VALNSAWD: VALUE NON-SEASONALLY ADJUSTED - Average Weekly Retail Sales Detailed Level in £thousands, Great Britain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells in this table are empty because data was not collected for these variables at these time points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Weeks,Time Period,All Retailing including automotive fuel - All Retailing,All Retailing including automotive fuel - Large Businesses,All Retailing including automotive fuel - Small Businesses,All Retailing excluding automotive fuel - All Retailing,All Retailing excluding automotive fuel - Large Businesses,All Retailing excluding automotive fuel - Small Businesses,Predominantly Food Stores Total - All Businesses,Predominantly Food Stores Total - Large Businesses,Predominantly Food Stores Total - Small Businesses,Non-Specialised Food Stores - All Businesses,Non-Specialised Food Stores - Large Businesses,Non-Specialised Food Stores - Small Businesses,Specialist Food Stores,"Alcoholic and Other beverages, and Tobacco",Predominantly Non-food Stores Total - All Businesses,Predominantly Non-food Stores Total - Large Businesses,Predominantly Non-food Stores Total - Small Businesses,Non-Specialised Predominantly Non-food Stores - All Businesses,Non-Specialised Predominantly Non-food Stores - Large Businesses,Non-Specialised Predominantly Non-food Stores - Small Businesses,"Textiles, Clothing, Footwear & Leather - All Businesses","Textiles, Clothing, Footwear & Leather - Large Businesses","Textiles, Clothing, Footwear & Leather - Small Businesses",Retail Sale of Textiles,Retail Sale of Clothing - All Businesses,Retail Sale of Clothing - Large Businesses,Retail Sale of Clothing - Small Businesses,Footwear & Leather Goods,Household Goods Stores - All Businesses,Household Goods Stores - Large Businesses,Household Goods Stores - Small Businesses,"Furniture, Lighting, etc. NES",Electrical Household Appliances,"Hardware, Paint and Glass",Audio and video and music,Other Non-food Stores - All Businesses,Other Non-food Stores - Large Businesses,Other Non-food Stores - Small Businesses,"Other Retail Sale in Specialised Stores - Pharmaceutical, Medical, Cosmetic and Toilet Goods","Other Retail Sale in Specialised Stores - Books, Newspapers and Periodicals",Other Retail Sale in Specialised Stores - Floor Coverings,Other Retail Sale in Specialised Stores - Computers and Telecommunications,Other Retail Sale in Specialised Stores - Specialised Stores NEC,Non-store Retailing - All Retailing,Non-store Retailing - Large Businesses,Non-store Retailing - Small Businesses,Non-store Retailing - Mail Order Houses,Non-store Retailing - Non-store excluding Mail Order,Automotive fuel
5,1996JAN,"3,443,374","2,238,733","1,204,644","3,153,389","2,064,314","1,089,077","1,352,310","1,055,646","296,664","1,115,265","1,003,472","111,793","137,011","100,034","1,604,100","902,369","701,733","274,463","229,574","44,889","375,506","275,119","100,388","16,984","305,847","235,854","69,994","52,675","442,363","248,787","193,576","159,061","137,428","111,586","34,288","511,768","148,888","362,880","58,331","81,298","45,511","83,604","243,024","196,978","106,299","90,680","139,865","57,113","289,986"
4,1996FEB,"3,592,279","2,338,020","1,254,256","3,262,627","2,140,353","1,122,272","1,435,910","1,119,933","315,977","1,181,376","1,062,194","119,181","146,885","107,649","1,586,215","876,727","709,486","264,811","220,451","44,359","359,189","261,948","97,240","16,269","296,596","229,367","67,228","46,324","432,581","241,422","191,159","153,620","126,058","121,347","31,556","529,635","152,907","376,728","60,122","85,278","46,599","83,741","253,895","240,503","143,694","96,808","180,634","59,869","329,652"
5,1996MAR,"3,668,516","2,397,840","1,270,674","3,352,937","2,207,436","1,145,499","1,483,946","1,162,414","321,532","1,224,147","1,102,015","122,134","150,217","109,582","1,653,509","922,248","731,261","274,985","229,041","45,944","391,535","290,176","101,359","15,921","324,982","254,174","70,808","50,632","430,079","241,882","188,197","146,617","122,769","129,436","31,257","556,910","161,149","395,761","61,687","83,671","50,105","85,228","276,219","215,482","122,775","92,707","155,949","59,533","315,579"
4,1996APR,"3,768,066","2,438,626","1,329,441","3,450,088","2,249,588","1,200,500","1,468,227","1,143,851","324,377","1,207,260","1,083,279","123,983","147,283","113,684","1,769,881","988,076","781,804","297,006","249,401","47,605","438,837","325,068","113,768","16,270","361,673","282,814","78,858","60,894","443,072","250,123","192,949","149,378","116,109","148,423","29,162","590,966","163,484","427,482","62,620","79,703","48,372","92,315","307,956","211,980","117,661","94,319","151,132","60,848","317,978"
4,1996MAY,"3,705,282","2,409,896","1,295,389","3,406,305","2,231,903","1,174,406","1,474,219","1,151,849","322,372","1,214,839","1,091,286","123,554","146,236","113,144","1,730,706","970,314","760,394","276,084","228,783","47,301","428,443","319,894","108,550","15,257","353,066","278,710","74,357","60,120","438,427","255,714","182,713","148,482","115,021","145,285","29,639","587,751","165,922","421,829","62,634","77,484","47,897","91,012","308,724","201,381","109,740","91,640","141,155","60,226","298,977"
5,1996JUN,"3,806,369","2,466,503","1,339,865","3,498,394","2,281,868","1,216,525","1,502,107","1,172,121","329,985","1,235,562","1,108,694","126,868","150,072","116,473","1,787,099","992,676","794,423","295,355","246,234","49,122","461,517","344,987","116,530","15,735","379,439","299,104","80,334","66,343","421,244","238,435","182,809","145,629","112,112","134,864","28,639","608,983","163,021","445,962","66,810","79,976","43,339","94,825","324,033","209,187","117,071","92,117","148,105","61,082","307,976"
4,1996JUL,"3,824,609","2,483,606","1,341,004","3,525,752","2,305,052","1,220,701","1,504,132","1,171,979","332,154","1,237,943","1,108,415","129,528","149,470","116,719","1,810,689","1,014,838","795,852","316,779","263,670","53,109","462,470","342,107","120,363","15,932","378,060","294,691","83,369","68,478","440,832","247,582","193,250","151,430","119,525","139,024","30,853","590,608","161,478","429,130","68,665","81,320","46,559","98,669","295,395","210,931","118,235","92,695","149,580","61,351","298,858"
4,1996AUG,"3,731,335","2,436,754","1,294,581","3,428,869","2,256,305","1,172,564","1,470,516","1,147,804","322,712","1,212,882","1,087,143","125,739","143,755","113,879","1,753,834","990,540","763,294","294,074","243,003","51,071","446,069","326,462","119,607","15,853","360,743","279,007","81,736","69,473","440,901","254,291","186,610","147,769","127,125","134,322","31,685","572,790","166,784","406,006","64,393","84,881","46,698","95,522","281,296","204,519","117,961","86,558","145,015","59,504","302,466"
5,1996SEP,"3,810,573","2,484,695","1,325,876","3,493,618","2,296,091","1,197,526","1,452,870","1,134,723","318,146","1,199,268","1,076,559","122,708","142,633","110,969","1,815,794","1,031,276","784,517","306,821","256,331","50,490","463,555","344,446","119,109","17,096","384,163","302,242","81,921","62,296","457,592","259,611","197,981","157,124","134,336","132,284","33,848","587,826","170,889","416,937","65,193","92,026","49,746","96,006","284,855","224,954","130,091","94,863","164,116","60,838","316,955"
4,1996OCT,"3,939,651","2,606,615","1,333,037","3,635,138","2,422,858","1,212,280","1,476,683","1,157,965","318,717","1,220,638","1,097,729","122,911","142,902","113,143","1,913,124","1,116,569","796,555","329,513","278,631","50,882","487,677","370,542","117,135","17,374","408,011","327,338","80,673","62,292","497,794","286,939","210,855","175,795","146,136","138,586","37,277","598,140","180,457","417,683","65,070","97,724","55,229","96,393","283,724","245,331","148,324","97,008","184,368","60,963","304,514"
4,1996NOV,"4,296,645","2,934,574","1,362,069","3,987,786","2,743,986","1,243,798","1,533,290","1,213,711","319,579","1,273,582","1,151,192","122,389","145,312","114,396","2,200,986","1,375,839","825,146","437,313","385,311","52,001","584,671","461,266","123,405","17,584","504,198","418,167","86,031","62,889","536,814","318,572","218,242","176,095","178,476","135,504","46,739","642,188","210,690","431,498","71,208","107,517","59,581","95,041","308,841","253,510","154,436","99,074","190,313","63,197","308,859"
5,1996DEC,"4,977,521","3,491,353","1,486,168","4,677,493","3,306,148","1,371,345","1,680,217","1,348,238","331,980","1,390,762","1,266,585","124,176","159,058","130,397","2,768,510","1,821,381","947,128","599,566","546,947","52,619","772,373","618,290","154,083","18,107","674,064","559,782","114,282","80,202","617,298","382,897","234,401","189,106","240,059","120,555","67,578","779,273","273,248","506,025","92,197","133,672","48,889","111,914","392,601","228,766","136,529","92,237","165,566","63,200","300,028"
4,1997JAN,"3,673,146","2,426,724","1,246,423","3,375,051","2,247,423","1,127,629","1,451,065","1,141,120","309,944","1,205,772","1,087,021","118,750","139,707","105,586","1,717,298","986,301","730,998","303,606","253,996","49,610","396,949","294,760","102,189","17,074","326,253","255,268","70,985","53,622","482,832","271,936","210,896","175,989","150,563","118,731","37,549","533,911","165,608","368,303","63,950","86,409","52,758","85,056","245,738","206,689","120,002","86,687","147,940","58,749","298,095"
4,1997FEB,"3,744,532","2,469,715","1,274,818","3,408,478","2,268,203","1,140,276","1,485,623","1,168,446","317,177","1,232,541","1,111,433","121,107","143,403","109,679","1,697,138","962,340","734,799","284,466","235,887","48,579","380,686","286,361","94,326","16,018","316,606","251,546","65,061","48,062","470,995","267,791","203,204","172,480","135,322","129,354","33,839","560,991","172,301","388,690","66,189","89,239","52,440","88,577","264,546","225,717","137,417","88,300","165,702","60,015","336,054"
5,1997MAR,"3,844,359","2,556,261","1,288,096","3,533,356","2,368,614","1,164,741","1,521,716","1,201,949","319,766","1,263,415","1,140,208","123,208","145,104","113,197","1,792,396","1,035,785","756,611","303,405","252,993","50,412","427,584","325,310","102,274","15,668","357,345","287,656","69,689","54,571","470,192","273,142","197,050","163,269","128,337","145,920","32,666","591,215","184,340","406,875","65,789","86,994","53,285","87,739","297,408","219,244","130,880","88,364","159,148","60,096","311,002"
4,1997APR,"3,940,405","2,604,340","1,336,063","3,609,491","2,406,850","1,202,639","1,548,974","1,217,739","331,234","1,282,352","1,155,439","126,912","149,028","117,594","1,842,357","1,059,212","783,144","307,369","254,771","52,597","467,403","354,897","112,506","16,464","381,766","306,588","75,178","69,173","470,392","272,150","198,242","158,098","128,409","151,680","32,205","597,194","177,395","419,799","67,372","82,307","52,627","92,109","302,779","218,159","129,899","88,261","156,775","61,384","330,914"
4,1997MAY,"3,878,976","2,584,741","1,294,238","3,553,898","2,390,461","1,163,440","1,536,946","1,211,256","325,693","1,275,594","1,148,657","126,937","144,357","116,995","1,811,322","1,058,680","752,643","295,644","244,500","51,145","466,502","355,507","110,994","15,508","383,190","309,103","74,086","67,804","465,508","278,105","187,403","154,787","124,671","153,913","32,137","583,668","180,567","403,101","67,070","80,140","48,124","86,277","302,057","205,630","120,526","85,104","145,538","60,092","325,078"
5,1997JUN,"4,007,033","2,658,390","1,348,644","3,666,563","2,453,497","1,213,066","1,543,525","1,216,442","327,084","1,280,310","1,153,915","126,397","146,691","116,524","1,910,390","1,109,950","800,440","317,044","264,632","52,412","486,282","371,108","115,174","17,054","399,680","321,438","78,242","69,548","493,211","286,911","206,300","175,784","137,909","144,294","35,224","613,853","187,299","426,554","71,467","85,384","52,288","92,772","311,942","212,648","127,106","85,542","152,112","60,536","340,470"
4,1997JUL,"4,076,336","2,711,744","1,364,593","3,751,002","2,516,624","1,234,380","1,576,186","1,242,796","333,391","1,310,287","1,179,007","131,280","147,403","118,496","1,956,486","1,143,349","813,138","339,655","284,550","55,104","511,442","388,020","123,422","17,824","420,549","335,902","84,647","73,069","493,038","280,120","212,918","178,464","134,347","145,534","34,693","612,352","190,658","421,694","76,036","86,442","53,051","95,747","301,076","218,330","130,479","87,851","159,760","58,570","325,334"
4,1997AUG,"3,938,374","2,631,328","1,307,048","3,611,395","2,435,501","1,175,896","1,561,159","1,231,711","329,448","1,299,680","1,168,508","131,172","143,357","118,122","1,844,869","1,082,717","762,154","313,464","260,779","52,685","467,855","350,647","117,209","16,430","380,082","300,667","79,415","71,343","483,564","284,892","198,672","167,976","138,170","143,025","34,393","579,986","186,399","393,587","69,274","87,280","51,406","88,030","283,996","205,368","121,074","84,294","146,499","58,869","326,979"
5,1997SEP,"3,950,194","2,651,191","1,298,998","3,607,500","2,446,478","1,161,017","1,528,261","1,209,028","319,230","1,273,965","1,149,102","124,863","141,238","113,058","1,861,231","1,105,177","756,052","320,575","270,698","49,877","476,181","362,263","113,918","17,051","393,724","316,363","77,361","65,406","481,637","283,434","198,203","172,672","138,343","135,799","34,823","582,838","188,784","394,054","70,030","93,580","48,492","92,243","278,493","218,008","132,272","85,735","159,600","58,408","342,694"
4,1997OCT,"4,170,080","2,829,049","1,341,036","3,827,453","2,621,487","1,205,971","1,557,919","1,233,955","323,967","1,298,249","1,173,020","125,232","145,004","114,666","2,025,442","1,230,842","794,603","352,169","300,926","51,243","532,198","415,527","116,671","19,088","445,576","366,645","78,931","67,534","529,482","312,730","216,752","191,929","156,592","141,027","39,934","611,594","201,657","409,937","70,845","100,991","55,599","94,645","289,514","244,092","156,691","87,401","184,176","59,916","342,627"
4,1997NOV,"4,515,709","3,143,228","1,372,481","4,153,487","2,918,886","1,234,601","1,612,838","1,289,653","323,183","1,348,904","1,225,096","123,806","145,438","118,496","2,286,201","1,462,758","823,444","454,185","401,312","52,873","600,020","479,610","120,410","19,391","515,293","433,069","82,224","65,336","570,293","344,362","225,931","197,972","183,185","141,121","48,015","661,702","237,473","424,229","76,097","110,505","58,737","98,190","318,173","254,449","166,475","87,974","192,786","61,663","362,222"
5,1997DEC,"5,277,168","3,831,646","1,445,521","4,930,721","3,616,998","1,313,722","1,791,417","1,462,405","329,011","1,496,857","1,374,939","121,917","157,995","136,565","2,905,976","2,001,753","904,223","630,687","573,473","57,214","824,698","675,736","148,962","21,537","714,962","610,753","104,209","88,199","672,176","430,385","241,791","219,584","249,716","132,216","70,660","778,415","322,159","456,256","96,172","138,809","50,324","92,055","401,055","233,328","152,840","80,488","173,270","60,058","346,447"
4,1998JAN,"3,904,016","2,640,606","1,263,412","3,565,182","2,435,805","1,129,380","1,525,179","1,214,451","310,729","1,277,260","1,160,458","116,803","141,826","106,093","1,837,806","1,095,643","742,165","323,150","275,107","48,043","424,264","323,690","100,574","18,835","348,053","280,046","68,007","57,376","535,270","318,573","216,697","195,439","165,630","132,979","41,222","555,123","178,272","376,851","65,237","93,132","42,267","89,136","265,351","202,197","125,711","76,486","146,362","55,835","338,834"
4,1998FEB,"3,948,262","2,645,455","1,302,808","3,582,819","2,425,241","1,157,579","1,567,810","1,246,301","321,511","1,308,931","1,186,242","122,690","146,355","112,524","1,784,670","1,026,847","757,821","297,275","249,185","48,090","398,424","301,189","97,235","17,089","330,777","264,899","65,878","50,558","503,256","293,624","209,632","181,525","143,847","141,928","35,956","585,715","182,850","402,864","68,299","95,764","43,807","90,398","287,447","230,340","152,093","78,247","175,220","55,120","365,443"
5,1998MAR,"3,983,959","2,685,938","1,298,019","3,660,552","2,489,859","1,170,691","1,599,405","1,279,133","320,270","1,340,582","1,217,408","123,173","145,985","112,838","1,836,980","1,065,460","771,520","309,507","260,603","48,904","424,363","323,655","100,708","17,188","354,180","285,687","68,493","52,995","501,908","294,158","207,750","180,614","138,116","148,033","35,145","601,202","187,044","414,158","67,447","95,635","42,765","92,357","302,998","224,167","145,267","78,900","168,831","55,336","323,407"
4,1998APR,"4,110,574","2,783,268","1,327,306","3,780,753","2,584,669","1,196,084","1,642,092","1,313,274","328,819","1,373,890","1,247,336","126,555","149,439","118,763","1,923,992","1,136,433","787,559","315,737","265,809","49,928","466,238","357,896","108,343","18,372","387,506","314,163","73,344","60,360","522,286","318,082","204,204","183,339","137,569","166,943","34,435","619,731","194,647","425,084","68,747","92,574","42,811","89,437","326,162","214,669","134,963","79,706","158,335","56,334","329,821"
4,1998MAY,"4,097,468","2,773,941","1,323,530","3,772,193","2,577,810","1,194,386","1,635,777","1,304,641","331,139","1,365,317","1,238,133","127,187","148,470","121,990","1,933,116","1,141,849","791,267","312,047","262,360","49,687","495,685","382,009","113,676","16,329","411,669","333,560","78,109","67,687","491,032","300,724","190,308","162,625","121,479","175,603","31,325","634,351","196,755","437,596","70,417","86,702","38,561","86,303","352,368","203,300","131,320","71,980","147,837","55,463","325,276"
5,1998JUN,"4,106,607","2,768,331","1,338,277","3,760,633","2,558,300","1,202,335","1,645,932","1,313,697","332,237","1,373,281","1,246,766","126,514","151,163","121,488","1,899,449","1,102,827","796,620","313,557","261,648","51,909","469,221","360,892","108,329","16,158","393,105","316,981","76,124","59,958","490,783","287,781","203,002","181,478","128,272","148,274","32,759","625,887","192,507","433,380","73,005","90,984","40,765","89,971","331,162","215,253","141,776","73,477","159,003","56,250","345,974"
4,1998JUL,"4,196,902","2,835,888","1,361,013","3,850,450","2,626,726","1,223,724","1,633,409","1,299,363","334,048","1,361,371","1,233,854","127,517","151,730","120,308","2,004,474","1,188,551","815,922","344,684","290,622","54,062","517,487","399,102","118,385","20,163","429,518","347,622","81,896","67,806","513,962","299,583","214,379","188,968","135,675","154,266","35,053","628,341","199,245","429,096","75,350","92,949","40,827","95,371","323,844","212,567","138,812","73,754","156,355","56,212","346,452"
4,1998AUG,"4,129,273","2,780,612","1,348,658","3,772,103","2,565,282","1,206,817","1,635,659","1,299,321","336,333","1,363,428","1,233,154","130,271","150,673","121,558","1,925,773","1,129,880","795,895","323,301","270,924","52,377","487,024","367,679","119,346","17,861","399,312","315,447","83,866","69,851","496,770","291,089","205,681","174,596","135,049","153,540","33,585","618,677","200,187","418,490","76,285","93,970","41,667","93,659","313,096","210,671","136,081","74,590","155,026","55,645","357,171"
5,1998SEP,"4,091,594","2,775,724","1,315,871","3,722,822","2,553,960","1,168,862","1,590,388","1,270,228","320,161","1,331,980","1,207,473","124,508","142,526","115,882","1,909,210","1,140,068","769,141","319,741","268,849","50,892","478,294","365,610","112,683","16,797","399,245","319,676","79,568","62,252","513,874","308,373","205,501","185,414","144,756","147,317","36,387","597,302","197,237","400,065","73,219","98,042","39,441","91,314","295,286","223,224","143,664","79,560","166,299","56,925","368,772"
4,1998OCT,"4,226,914","2,914,912","1,311,998","3,878,361","2,702,630","1,175,728","1,621,464","1,300,964","320,498","1,361,342","1,238,195","123,146","145,212","114,910","2,012,557","1,235,496","777,061","345,065","294,046","51,019","519,178","406,086","113,092","17,838","440,437","360,199","80,238","60,903","536,159","323,229","212,930","190,055","156,963","149,123","40,018","612,155","212,135","400,020","71,418","104,492","43,661","93,387","299,197","244,340","166,171","78,169","186,210","58,130","348,553"
4,1998NOV,"4,606,994","3,252,149","1,354,848","4,257,841","3,034,803","1,223,041","1,688,809","1,365,993","322,817","1,421,526","1,297,513","124,013","148,118","119,165","2,306,682","1,484,387","822,296","457,019","402,536","54,483","601,113","482,947","118,167","19,431","520,813","436,519","84,294","60,869","575,531","349,503","226,028","197,857","183,179","146,437","48,058","673,019","249,401","423,618","78,198","116,582","43,635","98,895","335,709","262,351","184,423","77,928","205,012","57,339","349,153"
5,1998DEC,"5,322,441","3,903,658","1,418,782","4,999,206","3,702,375","1,296,830","1,862,260","1,531,861","330,399","1,564,819","1,440,000","124,820","161,687","135,754","2,902,427","2,004,577","897,850","624,122","565,615","58,507","796,805","658,988","137,817","17,024","704,188","602,895","101,293","75,593","689,670","452,799","236,871","214,825","262,914","137,114","74,817","791,830","327,175","464,655","99,288","152,179","32,895","98,142","409,326","234,519","165,937","68,581","180,260","54,259","323,234"
4,1999JAN,"3,981,974","2,748,700","1,233,272","3,664,590","2,555,511","1,109,076","1,583,953","1,274,033","309,919","1,336,549","1,216,202","120,347","139,894","107,510","1,874,732","1,143,652","731,079","319,037","272,171","46,866","431,829","330,977","100,851","18,246","358,993","287,947","71,045","54,590","557,567","344,996","212,571","192,796","182,553","136,895","45,323","566,299","195,508","370,791","67,836","94,693","41,717","95,652","266,401","205,904","137,826","68,078","154,448","51,456","317,385"
4,1999FEB,"4,011,448","2,752,656","1,258,792","3,661,458","2,540,257","1,121,200","1,628,878","1,311,250","317,628","1,369,518","1,245,459","124,059","143,231","116,129","1,802,514","1,068,118","734,395","296,201","250,086","46,115","399,454","303,749","95,706","17,189","335,390","268,592","66,799","46,875","526,076","314,309","211,767","182,875","151,574","153,804","37,823","580,782","199,975","380,807","68,378","96,203","37,585","98,724","279,892","230,066","160,889","69,177","179,785","50,281","349,991"
5,1999MAR,"4,115,449","2,848,339","1,267,114","3,791,459","2,650,533","1,140,930","1,689,402","1,364,738","324,667","1,423,779","1,296,233","127,545","147,233","118,390","1,872,432","1,126,306","746,127","316,050","267,775","48,275","439,299","337,028","102,271","17,088","371,385","299,766","71,619","50,826","517,349","315,790","201,559","170,358","144,408","165,846","36,737","599,734","205,712","394,022","69,268","94,924","38,020","96,128","301,394","229,625","159,489","70,136","179,472","50,153","323,990"
4,1999APR,"4,153,858","2,839,479","1,314,379","3,796,564","2,621,771","1,174,793","1,640,304","1,311,542","328,761","1,373,955","1,244,418","129,537","145,404","120,945","1,942,604","1,166,261","776,343","315,094","266,585","48,509","468,704","361,630","107,074","17,210","392,356","317,675","74,681","59,138","524,649","325,644","199,005","170,970","141,932","176,241","35,506","634,157","212,402","421,755","69,619","90,956","36,643","100,234","336,705","213,656","143,968","69,689","162,701","50,955","357,294"
4,1999MAY,"4,233,202","2,902,283","1,330,915","3,872,604","2,682,268","1,190,333","1,690,057","1,354,157","335,898","1,415,636","1,283,063","132,570","149,432","124,989","1,974,806","1,186,105","788,699","314,343","264,117","50,225","496,078","383,572","112,505","15,405","417,835","338,233","79,601","62,838","516,040","320,153","195,887","165,719","135,027","180,465","34,829","648,345","218,263","430,082","70,783","88,618","33,220","99,661","356,063","207,742","142,006","65,736","157,956","49,786","360,598"
5,1999JUN,"4,246,167","2,913,158","1,333,012","3,867,913","2,680,843","1,187,073","1,689,791","1,355,623","334,170","1,414,019","1,282,138","131,884","149,220","126,552","1,970,256","1,182,154","788,102","325,886","275,044","50,842","493,994","382,349","111,645","16,540","412,419","333,102","79,317","65,035","512,174","313,227","198,947","175,006","137,377","164,710","35,081","638,202","211,534","426,668","74,931","90,767","35,365","98,336","338,803","207,866","143,066","64,800","158,447","49,419","378,254"
4,1999JUL,"4,313,001","2,970,005","1,342,992","3,951,340","2,749,129","1,202,208","1,696,818","1,352,829","343,986","1,419,485","1,283,519","135,965","152,324","125,009","2,049,487","1,257,281","792,206","355,495","300,645","54,850","531,891","415,739","116,151","18,716","442,001","360,251","81,749","71,174","527,761","320,506","207,255","177,294","144,568","168,539","37,360","634,341","220,391","413,950","77,127","92,068","33,477","101,630","330,039","205,035","139,020","66,016","155,611","49,424","361,660"
4,1999AUG,"4,230,043","2,898,665","1,331,381","3,864,348","2,675,632","1,188,720","1,662,549","1,322,783","339,770","1,390,365","1,254,147","136,221","149,735","122,449","1,992,695","1,210,186","782,510","334,190","280,270","53,920","493,135","381,352","111,783","18,538","404,539","327,729","76,810","70,058","536,878","321,537","215,341","183,592","150,521","165,345","37,420","628,492","227,027","401,465","74,329","96,555","34,692","104,050","318,866","209,104","142,663","66,441","163,797","45,307","365,694"
5,1999SEP,"4,188,819","2,886,565","1,302,254","3,809,326","2,655,683","1,153,643","1,644,106","1,316,425","327,681","1,377,401","1,246,736","130,663","142,623","124,082","1,949,616","1,193,519","756,099","329,896","278,807","51,089","480,599","372,409","108,190","17,964","397,933","324,588","73,345","64,702","529,407","322,883","206,524","183,422","152,789","154,788","38,408","609,715","219,419","390,296","71,355","99,790","37,585","99,759","301,226","215,603","145,740","69,863","168,046","47,557","379,493"
4,1999OCT,"4,379,829","3,049,625","1,330,202","3,997,358","2,813,871","1,183,485","1,656,223","1,327,507","328,714","1,387,604","1,257,260","130,344","145,412","123,207","2,102,501","1,319,501","783,000","365,248","313,053","52,194","536,529","423,951","112,578","19,379","454,700","376,775","77,925","62,450","571,543","347,685","223,858","201,210","166,160","161,809","42,364","629,182","234,812","394,370","73,313","105,848","38,201","103,012","308,808","238,634","166,863","71,771","189,015","49,619","382,471"
4,1999NOV,"4,797,009","3,413,527","1,383,480","4,393,118","3,159,227","1,233,888","1,733,880","1,403,160","330,719","1,459,910","1,329,100","130,809","147,857","126,113","2,395,489","1,568,193","827,295","474,266","420,387","53,879","606,714","493,591","113,123","19,913","525,751","446,985","78,766","61,050","617,632","379,578","238,054","209,125","193,676","164,019","50,812","696,877","274,637","422,239","80,580","117,677","45,273","108,412","344,935","263,750","187,875","75,874","210,809","52,941","403,891"
5,1999DEC,"5,574,203","4,151,983","1,422,222","5,176,946","3,901,775","1,275,173","1,975,468","1,633,656","341,813","1,663,678","1,534,028","129,650","166,729","145,061","2,975,792","2,104,919","870,874","660,538","597,950","62,588","822,811","685,686","137,124","19,541","724,230","625,591","98,639","79,040","698,044","465,727","232,317","215,842","262,865","144,521","74,816","794,400","355,555","438,845","99,929","146,745","33,789","97,351","416,586","225,686","163,200","62,486","177,008","48,678","397,257"
4,2000JAN,"4,228,538","2,957,353","1,271,184","3,820,938","2,705,258","1,115,680","1,623,717","1,303,862","319,854","1,366,257","1,244,643","121,611","145,015","112,446","1,997,119","1,266,120","731,000","351,196","300,384","50,812","455,656","351,149","104,507","19,325","379,579","307,104","72,476","56,752","606,654","389,979","216,675","210,068","195,143","153,007","48,436","583,613","224,608","359,005","73,465","97,486","34,668","108,824","269,170","200,102","135,276","64,826","149,537","50,565","407,599"
4,2000FEB,"4,196,381","2,919,002","1,277,383","3,760,979","2,650,485","1,110,498","1,664,317","1,337,443","326,877","1,398,786","1,272,792","125,998","147,684","117,846","1,864,895","1,151,113","713,784","325,703","274,255","51,448","410,091","320,583","89,508","16,792","346,209","282,899","63,310","47,090","538,379","335,103","203,276","186,058","156,157","157,233","38,931","590,723","221,171","369,552","69,833","96,540","37,008","105,273","282,069","231,768","161,930","69,838","181,937","49,831","435,402"
5,2000MAR,"4,241,241","2,959,622","1,281,616","3,839,372","2,710,346","1,129,022","1,684,577","1,361,158","323,417","1,432,195","1,297,494","134,699","140,326","112,056","1,923,621","1,191,363","732,258","326,139","275,690","50,449","446,901","351,049","95,852","16,432","381,183","311,557","69,626","49,286","545,410","342,497","202,913","181,433","152,724","172,411","38,842","605,171","222,127","383,044","70,386","95,866","37,602","99,156","302,161","231,173","157,826","73,347","178,852","52,321","401,869"
4,2000APR,"4,509,246","3,147,152","1,362,095","3,975,036","2,816,965","1,158,072","1,757,118","1,405,223","351,895","1,484,628","1,339,699","144,927","155,365","117,125","2,012,048","1,274,409","737,640","342,847","290,390","52,457","489,440","384,946","104,493","16,152","415,060","339,161","75,898","58,228","553,062","363,669","189,393","175,967","148,325","191,728","37,042","626,700","235,403","391,297","69,183","92,579","36,812","91,660","336,466","205,870","137,333","68,537","150,630","55,240","534,210"
4,2000MAY,"4,406,968","3,071,758","1,335,211","3,948,519","2,788,031","1,160,489","1,712,213","1,380,196","332,017","1,454,630","1,317,478","137,152","139,654","117,929","2,017,364","1,264,887","752,478","329,659","278,399","51,260","523,880","409,670","114,210","15,524","441,531","360,182","81,349","66,825","531,117","343,483","187,634","168,129","132,441","196,370","34,177","632,708","233,334","399,374","71,512","88,854","38,579","91,207","342,556","218,942","142,948","75,994","163,849","55,093","458,449"
5,2000JUN,"4,404,500","3,071,751","1,332,750","3,939,715","2,782,265","1,157,451","1,720,521","1,390,791","329,732","1,468,531","1,327,535","140,999","137,631","114,359","2,012,922","1,255,061","757,860","337,924","285,770","52,154","510,052","398,912","111,140","15,950","430,662","350,021","80,641","63,440","524,502","339,875","184,627","170,797","140,729","177,044","35,932","640,444","230,505","409,939","75,517","87,932","35,574","96,742","344,679","206,272","136,413","69,859","156,065","50,207","464,785"
4,2000JUL,"4,461,325","3,099,383","1,361,939","4,033,448","2,837,350","1,196,095","1,726,017","1,380,035","345,978","1,461,618","1,317,562","144,052","147,352","117,047","2,098,963","1,317,979","780,984","362,771","308,962","53,809","547,777","422,184","125,593","18,724","459,099","370,365","88,734","69,954","541,866","347,221","194,645","181,969","147,380","174,406","38,111","646,549","239,612","406,937","74,106","92,787","36,736","97,722","345,198","208,469","139,336","69,133","158,132","50,337","427,877"
