TIME,European Union - 27 countries (from 2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,United Kingdom
2022-12-01,1577955,72215,11046,38136,11260,386326,1661,20602,18793,102205,208296,9824,280873,0,5989,8408,2917,45506,1360,133849,37754,81997,15197,50428,3552,23039,3406,3315,,45355,
2023-01-01,1594330,70754,10340,35012,10514,440678,1526,18987,15075,106698,197767,10723,286664,0,3995,4929,3014,43315,1404,118964,35345,81218,14217,49825,3740,21398,5035,3193,,53444,
2023-02-01,1449079,64885,10222,33900,9769,348668,1361,16791,15675,120713,175846,10416,269405,0,4368,3840,2731,42075,1185,107291,33058,76106,17678,50019,3462,21267,5578,2770,,37184,
2023-03-01,1318082,64164,10316,30275,9747,327858,1456,19070,14577,103167,158253,9738,224180,0,3672,6252,2655,34912,1300,109427,28436,75011,14598,38678,3088,18477,5254,3522,,44946,
2023-04-01,1028300,49575,8396,23985,6707,250766,958,16406,14232,85675,114364,8248,176060,0,1449,4854,2087,27826,1257,85410,25188,60087,12492,29100,2730,14866,3585,1997,,20105,
2023-05-01,778055,35515,5871,14570,5525,172098,647,16433,11700,88224,68999,6428,145313,0,871,4215,1406,17748,1319,66587,17460,45561,12616,18321,2325,10739,5370,2195,,3920,
2023-06-01,702987,32754,5745,12644,5080,129806,498,14825,15553,94271,61323,5321,139027,0,1244,4006,1003,14741,1306,65694,12394,40129,16081,13521,1989,7964,3889,2180,,27412,
2023-07-01,724418,29843,7124,11413,4911,128874,439,13937,19327,94571,59793,6605,162992,0,719,3870,1044,15209,1577,60424,12464,40273,17051,16424,1750,7423,4352,2006,,24261,
2023-08-01,688899,31827,6581,11403,5495,128987,534,13734,16745,90181,55403,7705,130035,0,1476,4361,925,13913,1582,67525,11666,43081,15083,15739,1590,6018,5182,2126,,11431,
2023-09-01,746920,32540,7034,12267,5240,139135,498,13682,15911,95103,61412,6698,157963,0,1847,4903,1087,14722,1471,69027,14340,43803,16267,16926,1807,6077,4479,2680,,15147,
2023-10-01,,39164,7565,18678,7309,197223,1169,15356,16163,90401,84432,8380,165164,0,2532,6788,1685,22260,1231,75795,19724,57508,13141,24041,2301,11503,5915,2642,,12361,
2023-11-01,,56950,10324,28960,10066,321585,1447,17282,13461,94453,150417,11011,218846,0,3631,6161,2608,35794,1059,101432,29442,83042,13160,41889,3260,18701,5915,3403,,20126,
2023-12-01,,63440,11341,34789,11127,364831,1986,16114,17876,110492,178708,9969,275425,0,4511,7963,2853,46199,994,119291,35797,87947,13452,53800,3821,23491,7005,3770,,,
